news_spread,slip_frac,slip_cap,net_usd,per_event_usd,per_event_R,profit_factor,event_winrate,max_dd_usd
0.3,0.0,0.5,425.6,3.941,1.314,3.14,67.6,21.04
0.3,0.1,2.0,241.13,2.233,0.744,1.89,53.7,48.88
0.3,0.25,5.0,10.89,0.101,0.034,1.03,46.3,145.1
0.3,0.5,10.0,-421.02,-3.898,-1.299,0.36,32.4,493.81
0.8,0.0,0.5,372.23,3.447,1.149,2.53,62.0,23.97
0.8,0.1,2.0,187.81,1.739,0.58,1.58,50.0,59.5
0.8,0.25,5.0,-59.3,-0.549,-0.183,0.87,41.7,193.67
0.8,0.5,10.0,-532.91,-4.934,-1.645,0.3,29.6,575.13
1.5,0.0,0.5,203.23,1.882,0.627,1.55,46.3,80.1
1.5,0.1,2.0,2.01,0.019,0.006,1.0,37.0,170.41
1.5,0.25,5.0,-288.35,-2.67,-0.89,0.55,21.3,388.81
1.5,0.5,10.0,-818.43,-7.578,-2.526,0.2,13.9,854.85
3.0,0.0,0.5,105.04,0.973,0.324,1.25,39.8,131.83
3.0,0.1,2.0,-80.52,-0.746,-0.249,0.84,33.3,235.92
3.0,0.25,5.0,-410.86,-3.804,-1.268,0.43,17.6,499.77
3.0,0.5,10.0,-907.28,-8.401,-2.8,0.17,12.0,944.59
