scale,dist,hedge,sl,tp,trail,max_hold,exit,all_net_usd,all_per_event_R,all_profit_factor,all_event_winrate,all_max_dd_usd,all_t_stat,all_trades,is_net_usd,is_per_event_R,is_profit_factor,is_event_winrate,is_max_dd_usd,is_t_stat,is_trades,oos_net_usd,oos_per_event_R,oos_profit_factor,oos_event_winrate,oos_max_dd_usd,oos_t_stat,oos_trades
fixed,0.3,True,2.0,5.0,0.0,60,target,202.22,0.187,1.12,69.4,228.01,1.09,201,-104.81,-0.156,0.9,58.2,228.01,-0.65,123,307.03,0.749,1.49,87.8,30.84,3.84,78
fixed,0.3,True,2.0,10.0,0.0,60,target,440.64,0.408,1.23,49.1,407.33,1.49,201,-321.39,-0.48,0.73,35.8,407.33,-1.49,123,762.03,1.859,2.06,70.7,92.44,4.56,78
fixed,0.3,True,2.0,20.0,0.0,60,target,812.88,0.753,1.4,38.9,220.65,1.77,201,45.07,0.067,1.04,35.8,197.65,0.15,123,767.81,1.873,1.91,43.9,220.65,2.29,78
fixed,0.3,True,2.0,0.0,2.0,60,trail,826.67,0.765,1.49,51.9,284.15,1.97,201,-177.53,-0.265,0.82,43.3,284.15,-1.05,123,1004.21,2.449,2.39,65.9,66.03,2.78,78
fixed,0.3,True,2.0,0.0,3.0,60,trail,780.24,0.722,1.45,46.3,343.24,1.83,201,-216.51,-0.323,0.79,38.8,320.61,-1.19,123,996.75,2.431,2.38,58.5,82.91,2.75,78
fixed,0.3,True,2.0,0.0,5.0,60,trail,1012.81,0.938,1.54,45.4,310.43,2.11,201,-100.86,-0.151,0.91,35.8,310.43,-0.38,123,1113.67,2.716,2.54,61.0,130.31,2.99,78
fixed,0.3,True,2.0,0.0,0.0,15,timeout,1624.4,1.504,1.88,44.4,250.41,2.73,201,-40.98,-0.061,0.96,34.3,250.41,-0.17,123,1665.38,4.062,3.21,61.0,151.19,3.28,78
fixed,0.3,True,2.0,0.0,0.0,30,timeout,1457.63,1.35,1.75,40.7,273.11,2.42,201,-35.69,-0.053,0.97,29.9,273.11,-0.13,123,1493.32,3.642,2.89,58.5,199.83,2.94,78
fixed,0.3,True,2.0,0.0,0.0,60,timeout,1005.6,0.931,1.48,37.0,305.93,1.63,201,-12.56,-0.019,0.99,35.8,244.47,-0.04,123,1018.16,2.483,2.16,39.0,305.93,1.92,78
fixed,0.3,True,3.0,5.0,0.0,60,target,-114.21,-0.106,0.92,60.2,269.92,-0.85,201,-235.74,-0.352,0.73,53.7,269.92,-1.98,123,121.53,0.296,1.23,70.7,24.38,2.34,78
fixed,0.3,True,3.0,10.0,0.0,60,target,64.07,0.059,1.04,48.1,375.72,0.31,201,-325.1,-0.485,0.68,34.3,375.72,-2.06,123,389.18,0.949,1.64,70.7,80.99,3.37,78
fixed,0.3,True,3.0,20.0,0.0,60,target,262.54,0.243,1.15,38.0,244.72,0.83,201,-96.3,-0.144,0.9,34.3,213.78,-0.46,123,358.84,0.875,1.49,43.9,223.19,1.54,78
fixed,0.3,True,3.0,0.0,2.0,60,trail,262.85,0.243,1.18,39.8,372.15,0.92,201,-295.63,-0.441,0.65,32.8,339.54,-2.39,123,558.49,1.362,1.92,51.2,58.83,2.3,78
fixed,0.3,True,3.0,0.0,3.0,60,trail,247.62,0.229,1.17,37.0,392.6,0.85,201,-302.19,-0.451,0.66,28.4,358.0,-2.31,123,549.81,1.341,1.9,51.2,74.08,2.25,78
fixed,0.3,True,3.0,0.0,5.0,60,trail,382.33,0.354,1.24,39.8,337.45,1.17,201,-240.34,-0.359,0.76,31.3,337.45,-1.28,123,622.66,1.519,2.02,53.7,116.57,2.48,78
